Gross weight of truck,Leg Distance,Load of leg (lbs),Leg Unloading Hrs
16401.1531,83.95018234,7348.487534,0.82659596
16401.1531,110.6909495,3175.210274,0.641111111
15477.24059,114.3959644,12302.03032,1.046747475
15477.24059,12.35408996,4881.343779,0.716939394
17914.53495,213.247917,3550.42925,0.657787879
17914.53495,119.7291913,4788.035233,0.71279798
13562.1728,22.4385674,5744.364194,0.75530303
13562.1728,98.6644283,4220.817176,0.687585859
13562.1728,14.41937421,2037.47775,0.590545455
6372.573205,26.69164862,3596.991425,0.659858586
6372.573205,95.95173836,4335.095455,0.692666667
20916.64338,15.84104799,5811.613091,0.758292929
20916.64338,13.16107347,6583.919789,0.792616162
20916.64338,43.99266023,7829.94013,0.847989899
15659.88026,33.10307663,8521.1105,0.878707071
15659.88026,83.40713733,7829.94013,0.847989899
5384.183078,96.81133363,3271.258241,0.645383838
5384.183078,34.03285281,1619.677383,0.571979798
5384.183078,53.94865396,493.2474545,0.521919192
3690,483.2274613,1665,0.574
3690,166.0356271,2025,0.59
11980.64456,52.91845956,2273.056357,0.601020202
11980.64456,66.45282131,3396.0082,0.650929293
11980.64456,192.7226757,6311.58,0.780505051
10455.72829,138.6788159,3168.4,0.640808081
10455.72829,27.10513939,3741.714,0.666292929
10455.72829,219.0767082,3924.934563,0.674434343
7878.948001,158.5941818,3545.614286,0.657575758
7878.948001,68.70637693,3954.013438,0.675727273
7881.583601,77.66356478,1619.677383,0.571979798
7881.583601,34.03285281,3271.258241,0.645383838
7881.583601,101.5849794,2030.356429,0.590232323
5423.151759,67.93281567,2990.647978,0.632909091
5423.151759,43.17275093,3392.79533,0.650787879
9198.412283,139.2132293,7788.412283,0.846151515
9198.412283,141.8664685,840,0.537333333
9198.412283,17.48500344,570,0.525333333
13250.77596,224.7844093,2490.121429,0.610666667
13250.77596,86.20901927,10760.65453,0.978242424
5503.801083,41.17777399,2120.352,0.594232323
5503.801083,36.21138058,2264.469333,0.600636364
5503.801083,39.84172516,1118.97975,0.549727273
8874.217744,119.0970878,5842.527444,0.759666667
8874.217744,54.45695763,3031.6903,0.634737374
20755.95985,153.8254307,8846.406143,0.893171717
20755.95985,24.00783901,7121.518471,0.816505051
20755.95985,72.48345401,4788.035233,0.71279798
8140.849862,179.3643881,2259.028333,0.600393939
8140.849862,10.65106311,2940.910764,0.630707071
18708.80218,129.8916875,5274.880419,0.734434343
18708.80218,68.17081392,4427.339765,0.696767677
18708.80218,13.3133623,9006.582,0.900282828
8310.013792,189.9913585,5881.821528,0.761414141
8310.013792,6.676983203,2428.192264,0.607919192
14954.61053,63.00574901,7414.118714,0.829515152
14954.61053,49.1811004,5267.94,0.734121212
17287.34242,40.45523328,2272.551818,0.601
17287.34242,83.00303884,4960.819966,0.720474747
17287.34242,17.32558696,4912.403743,0.718323232
6604.362073,26.4085868,1039.166541,0.546181818
6604.362073,15.25449237,2723.028424,0.621020202
6604.362073,225.0045753,2842.167109,0.626313131
13457.9248,383.4304139,5215.650634,0.73179798
13457.9248,7.844725376,8242.274163,0.866323232
7718.04634,9.511511132,2076.563566,0.592282828
7718.04634,28.00087997,10165.33727,0.951787879
7718.04634,45.63894185,4561.13688,0.702717172
17325.43777,19.14680695,3042.519155,0.635222222
17325.43777,26.00465391,2598.963619,0.615505051
7076.429875,23.35494969,1995.90165,0.58869697
7076.429875,38.05818352,2993.114766,0.633020202
7076.429875,57.42411701,2087.413459,0.592767677
15673.31042,81.34591366,4159.124552,0.684848485
15673.31042,4.05360663,5757.092935,0.755868687
18548.51344,316.1147893,5404.913444,0.740212121
18548.51344,150.258495,13143.6,1.084151515
12270.9848,108.4574093,4281.751867,0.690292929
12270.9848,147.0939345,7989.23293,0.855070707
15281.63584,158.0797015,6049.628344,0.768868687
